ATTR1,ATTR2,ATTR3,ATTR4
7501.69,6721.14,4080.09,1408.33
2656.6,4865.64,5508.18,8551.48
4899.73,6784.19,2930.06,9497.22
9216.13,6749.1,5529.13,8650.59
8340.98,7773.84,1423.87,8478.05
108.01,8619.5,9197.45,2721.14
3570.28,4540.09,1756.66,7219.96
9144.54,1974.93,1663.45,5851.56
2213.58,981.7,4271.18,6568.7
8213.34,8650.54,6468.13,1472.61
6155.66,1351.97,7114.03,9610.95
3207.06,5058.89,8883.84,9999.12
4830.39,5997.44,5259.33,7154.26
9742.21,6762.67,5934.22,2310.46
9051.27,9079.28,6019.35,4074.86
8897.32,5663.13,9524.18,744.88
8536.89,4520.04,8606.59,5254.89
3251.4,5686.09,4018.03,4792.98
2777.98,1219.89,33.23,1575.26
5755.98,5340.8,1009.6,2432.76
643.1,5232.79,9517.63,5223.49
3356.38,6811.35,1797.11,4905.19
6319.61,1495.63,3755.74,3330.44
1940.49,9634.51,9724.19,5100.61
8738.42,6763.38,5400.99,898.93
3274.5,7890.59,9180.71,9250.67
3117.9,4476.33,5866.87,5352.36
4848.77,6398.18,5323.39,9013.61
7113.99,9312.25,9950.22,3174.36
9034.26,5935.87,3691.79,4146.03
5519.71,2691.86,3317.32,4552.64
8498.89,5719.45,5106.82,3241.09
7713.56,1769.43,5568.61,2812.91
5176.63,8857.02,1120.05,2511.31
9230.1,5736.3,4608.88,7600.84
1291.45,2597.59,756.12,595.59
7019.81,7128.97,933.46,8569.3
453.77,2474.82,9116.28,7818.65
5333.09,2024.5,8395.66,9272.1
5095.43,928.48,9988.67,7925.44
2958.3,7735.2,7984.64,714.89
89.34,2533.81,3321.81,3517.98
2301.98,5321.01,3316.37,9746.45
5098.3,2438.52,1969.59,4941.05
6422.29,6202.41,137.96,5947.78
5091.7,1234.11,9712.51,525.34
7378.86,6382.55,4921.1,9230.24
2849.89,5586.63,9584.91,9052.89
5743.39,5231.73,7589.98,6686.68
891.46,2737.2,1876.61,4550.23
5609.48,6882.43,9032.74,7027.32
9592.32,7896.82,5430.72,9195.84
1315.92,7369.01,657.73,3459.09
1412.34,8587.37,3347.11,2662.88
1973.98,2035.43,4605.3,1795.61
7502.75,8093.89,5886.58,1637.52
7967.56,8113.61,3418.2,2952.02
2764.91,1927.11,9932.75,1245.54
34.1,6915.31,6240.5,6497.59
9592.44,8686.51,3409.45,6907.58
9787.33,9805.29,5289.39,4164.15
7927.34,5147.18,5741.1,1695.54
5419.77,586.08,1630.82,8597.46
9869.89,8887.93,8363.28,9721.77
9960.2,764.12,1993.58,9641.95
1940.06,2371.53,6623.82,1835.06
8116.01,7978.48,7635.55,8714.68
5606.95,9966.56,2129.08,9755.3
3225.09,2308.65,9297.66,4170.8
272.7,3833.51,7969.06,8775.09
818.6,1857.33,5622.45,8478.39
8702.33,4688.85,989.08,1337.88
2256.98,9763.9,8737.04,8092.81
7581.48,7155.77,7392.64,8671.29
4258.11,2549.4,9483.41,71.85
9880.66,1218.97,7067.58,9194.4
5176.79,7618.9,6560.54,5708.38
8706.73,3393.74,4703.85,7566.87
366.03,95.32,8320.38,8865.05
6301.83,8306.51,7110.33,2557.47
306.29,3920.23,11.84,1559.29
3088.04,8861.79,1250.3,2595.47
3622.35,6518.29,6492.67,9023.27
73.9,4068.43,967.73,1517.23
7916.34,9020.74,8424.91,1903.65
5333.33,4556.67,183.23,4217.74
8650.97,3182.74,8623.88,3752.47
9285.6,665.98,5702.33,8625.93
5103.64,7266.59,1351.7,8975.11
2968.08,8528.19,6769.21,9583.91
6324.08,8880.57,128.43,4543.91
4220.18,8191.1,3305.83,371.7
4048.87,3859.86,6852.07,8945.69
9150.84,8315.17,5167.79,4092.32
6469.25,9790.07,376.41,8846.55
9564.74,5892.0,5991.67,1237.47
4318.58,8367.2,9363.42,8730.75
1240.71,9352.77,37.47,1976.04
1527.56,8347.45,4274.92,9494.56
608.36,8694.6,2432.49,7013.4
8154.86,7024.02,2497.29,8810.94
9870.6,9823.04,5830.1,263.11
3441.66,4794.44,153.85,2953.44
4763.6,8097.12,4489.41,5310.79
1616.24,8497.48,8275.39,7662.69
6202.21,1790.69,4469.79,6149.91
1601.86,3570.0,8050.89,7570.13
8483.31,5344.27,9621.3,7177.2
7514.1,1503.88,2149.05,3341.08
4238.54,4551.23,7954.59,9422.64
6271.18,2496.94,9142.6,5434.23
4236.54,236.04,9461.25,3100.2
2224.89,4833.87,8382.26,6475.92
9107.05,7986.08,4957.35,9959.47
1501.53,2143.04,4017.22,4390.45
9416.51,976.08,7724.63,8262.06
1949.71,1705.86,8357.32,3938.14
5767.2,8195.21,6588.22,2803.84
1139.74,1320.71,5523.26,259.69
5009.6,1120.8,1081.37,8299.25
8399.13,5057.68,9166.6,990.07
4995.72,3267.84,3097.82,9122.03
7771.92,2304.06,7312.73,2193.95
5133.53,4713.75,928.81,905.23
3859.44,1326.78,5673.45,3757.53
4229.07,2921.32,3509.05,5048.82
6735.75,2567.94,9495.12,3613.7
7471.19,6362.25,9244.22,7217.87
7444.12,3150.17,3035.7,1210.35
2208.44,6765.26,6367.61,2325.7
5141.26,1661.48,5271.35,6486.01
5338.44,5641.03,1269.0,7934.8
3310.51,9978.13,8836.97,6334.55
3560.66,8927.03,7308.64,1891.01
3727.44,2208.24,197.01,6178.36
3270.85,1733.78,6194.6,4128.56
2004.48,4301.26,1522.44,7667.73
2485.86,8128.1,6442.71,6092.09
9361.34,7643.96,4812.84,5058.02
3122.82,5486.37,4500.94,9302.09
1236.62,1578.33,111.7,9081.24
1890.81,8525.57,3502.7,2332.59
7276.97,2478.43,3216.21,8294.85
5218.11,7092.2,6513.62,7084.66
8274.02,7735.91,4057.99,6923.49
9855.78,3203.88,4604.46,7755.06
53.93,1663.05,1163.48,3714.07
7995.54,7326.08,9518.06,2594.18
6375.55,7364.19,4773.62,8840.33
4799.36,8828.82,8777.77,87.26
3263.57,498.85,4919.84,1323.49
5877.11,3761.12,6336.05,9985.43
5339.68,8107.4,4212.35,3510.79
8759.34,8646.76,4255.87,9687.93
5825.43,516.45,8468.08,4524.4
9237.11,8177.04,3134.27,3659.73
287.31,6707.02,5981.71,289.16
3651.56,489.68,6868.56,5613.91
6103.77,915.16,8020.46,829.85
8038.07,819.54,6339.51,9616.09
7054.59,6513.32,9442.85,701.3
3918.51,6450.39,6407.45,6492.21
916.8,3430.4,9063.41,8864.55
9173.45,3363.66,6426.8,6726.78
3454.96,8929.07,359.12,7117.47
2063.12,4496.64,106.14,4220.63
324.09,8340.34,55.03,5496.71
4268.02,8632.37,3367.67,1866.93
5206.75,4613.05,2428.31,8950.02
6012.26,2631.14,6827.88,8784.82
4713.37,892.05,1608.77,7525.61
7565.98,9379.9,9664.89,3129.53
8115.43,8935.62,1925.1,6461.02
2896.2,8205.49,3248.49,2783.87
8608.24,6220.73,1430.54,3857.38
1528.7,2949.83,4156.76,4389.29
8370.1,4384.96,9175.16,7917.79
6171.08,1886.89,435.09,3898.08
9952.22,8011.44,9583.16,284.99
7847.05,7073.88,9747.45,3495.24
2239.64,4551.95,5918.97,4508.83
3934.23,2559.64,7110.28,9976.17
3484.34,9159.21,8270.63,5458.19
8813.59,7626.14,7469.01,2255.18
1868.93,1039.03,9077.99,2185.79
4385.56,4983.02,7606.71,6119.88
8794.19,599.28,8474.97,6616.27
7812.72,3102.38,2948.44,7762.36
2218.09,2950.73,2162.61,5927.0
6400.81,7925.38,7957.03,506.41
2820.51,939.25,3385.93,1397.84
2432.31,1466.89,8134.38,4945.05
3369.56,8248.5,2534.61,4795.75
8991.72,8124.09,7736.77,4494.77
7599.14,7307.98,1370.57,6846.38
2734.48,4889.83,8643.57,4740.53
4817.14,1981.14,9023.12,5251.76
1593.68,3128.76,0.45,5076.01
1724.61,862.4,5242.9,3630.03
8313.24,2883.48,9545.9,153.21
8867.56,2772.01,983.76,3691.66
3562.44,873.69,4258.93,9018.95
4554.53,5230.11,5986.64,8060.58
3660.33,8760.69,2413.04,144.77
8443.62,6195.06,964.05,5518.85
9413.09,3033.9,7945.62,8946.49
1458.79,9212.86,772.63,8673.75
3721.03,2981.08,4480.85,2173.09
1258.69,4530.73,7843.04,862.23
6017.03,3479.15,4918.86,7578.83
1507.68,3393.27,4085.28,4149.29
9237.93,1832.28,6354.61,2612.33
3782.92,155.06,6683.97,4255.14
8435.51,6225.2,9478.89,9629.83
1465.44,8568.56,1445.13,4635.77
4877.09,305.02,2328.86,3084.59
1329.89,8229.36,8226.97,7089.71
9515.7,7181.29,9936.5,5902.0
551.54,682.47,1611.51,6062.19
6476.51,6098.83,1681.92,611.68
6464.01,1950.92,9337.58,3361.92
1945.71,3556.97,4125.2,5306.42
556.88,1621.4,4055.43,8425.85
9714.22,7039.68,7680.35,6447.91
6754.55,5064.9,7174.53,8223.34
7864.45,6079.5,2908.31,4426.49
1294.31,7141.91,7653.17,4811.51
6344.91,6226.16,415.29,1413.47
3555.95,2041.08,2321.0,6723.88
4027.11,9878.56,9359.77,7502.31
6703.31,3788.32,6520.86,1922.48
7114.0,8414.96,7754.59,8635.41
4505.45,3149.71,2787.2,1372.26
8616.13,7536.37,5309.57,4601.33
3134.81,3091.27,8711.27,9531.51
2086.53,214.97,7240.66,1065.34
7587.98,2929.84,1833.35,1850.17
8782.19,7208.74,5220.15,9177.12
2503.83,3093.11,739.64,3015.94
317.55,7009.92,7654.5,2720.69
438.31,3006.64,1153.6,4979.34
5057.25,8052.58,980.07,4382.04
1408.31,9922.76,7314.17,8746.24
8586.58,8835.29,4093.97,4933.48
2129.17,633.87,4701.18,8663.29
8186.51,8210.34,9005.0,4211.56
9513.44,3559.21,2551.49,4511.0
7532.48,5951.14,9734.16,5354.39
2590.69,4950.56,7000.29,3918.59
