ATTR1,ATTR2,ATTR3,ATTR4
299.54,543.52,366.55,652.88
840.08,820.21,95.5,949.37
895.25,196.39,583.95,373.45
867.71,862.72,908.85,907.45
607.37,10.96,317.67,79.83
35.53,443.55,806.92,225.78
242.59,667.29,215.71,864.4
265.31,734.06,781.72,906.47
669.79,195.81,788.57,264.97
848.39,650.0,33.0,959.04
801.82,253.37,253.86,727.22
682.22,173.53,430.93,754.69
843.73,932.68,913.22,841.17
711.17,892.57,927.27,68.24
683.66,194.62,938.4,663.66
761.5,397.11,822.49,667.03
181.26,755.83,473.97,329.09
87.72,750.02,722.67,144.56
324.11,440.07,616.28,872.41
652.48,910.2,209.58,376.16
901.0,902.07,158.1,689.24
935.3,515.06,779.08,577.93
632.46,226.73,436.84,694.15
393.97,594.39,959.71,217.18
374.52,867.23,888.55,495.8
440.79,623.47,28.11,823.86
431.6,352.62,763.98,578.45
714.87,273.82,755.95,396.63
335.56,92.04,599.31,812.97
108.9,869.9,828.39,547.19
897.6,266.3,944.52,928.62
934.42,662.74,161.37,793.99
375.89,510.04,853.2,889.49
784.39,326.98,280.39,319.54
885.94,718.16,699.59,526.55
956.14,507.77,832.44,301.27
401.23,716.06,872.21,841.07
977.93,532.08,43.18,962.11
534.56,488.43,320.08,203.79
778.06,185.7,397.79,10.69
379.89,766.09,25.41,834.88
525.96,49.47,350.48,783.93
40.83,142.37,229.26,783.06
518.53,403.0,183.45,789.82
819.96,505.01,329.18,762.02
177.33,160.03,852.5,443.68
189.67,571.17,861.42,283.39
892.52,862.11,252.99,542.31
696.36,839.58,175.63,978.09
614.78,331.78,212.35,890.11
657.53,523.75,869.27,164.33
284.55,644.78,109.08,488.03
581.29,925.87,70.06,626.59
67.49,728.39,202.04,113.89
164.28,431.55,733.21,763.17
566.63,189.59,781.01,887.25
966.52,28.86,210.49,82.85
333.46,63.6,863.96,71.0
112.05,410.16,456.4,721.19
794.86,819.35,489.73,606.69
52.85,184.76,365.04,105.6
813.35,675.63,425.59,643.59
929.35,238.41,515.99,708.37
591.88,665.04,605.71,165.72
649.07,882.84,409.19,183.43
646.11,609.82,159.57,156.05
732.11,307.74,975.93,954.53
25.46,735.12,670.37,32.24
726.14,0.42,355.42,865.82
571.48,644.44,661.98,133.66
547.32,835.18,967.94,446.86
385.1,606.36,712.36,602.19
302.51,537.7,210.38,716.0
480.82,559.2,263.3,652.01
571.32,867.14,576.21,844.71
940.08,126.79,5.17,471.5
680.31,805.28,251.03,54.27
704.78,160.42,580.58,908.05
593.61,299.0,357.4,140.2
906.32,490.39,272.37,68.99
565.04,782.17,775.65,235.94
593.42,582.38,260.9,173.7
293.55,799.22,534.92,669.6
592.3,362.49,629.25,606.76
796.88,930.29,495.26,617.22
16.55,354.51,159.48,109.2
459.07,5.29,487.23,554.55
98.74,97.71,465.64,46.12
99.73,846.07,506.38,459.7
602.85,240.62,889.9,352.85
217.85,399.52,147.81,538.54
130.24,856.23,200.24,591.26
489.27,782.66,526.62,628.15
568.74,873.22,951.86,430.85
608.05,686.78,578.86,309.35
875.81,858.53,184.86,283.63
765.78,259.53,6.33,510.18
247.61,109.31,176.47,551.64
396.96,892.34,73.89,353.67
639.44,451.25,578.02,555.84
278.68,526.6,511.47,486.0
89.97,705.98,542.37,302.05
39.7,685.13,321.43,807.29
983.63,189.2,453.52,407.61
142.59,777.46,923.59,87.66
185.1,265.76,303.38,927.07
499.97,37.29,413.07,87.67
828.66,983.98,852.11,284.52
855.62,735.85,752.29,774.05
798.89,679.49,455.77,327.7
387.98,181.99,44.27,380.8
687.02,279.42,792.18,693.61
494.04,890.62,851.11,590.32
126.78,541.52,389.35,30.98
221.62,917.56,816.41,814.22
580.8,410.75,939.98,150.28
487.2,839.49,879.21,159.01
27.55,956.97,490.73,151.78
849.76,537.29,916.97,346.19
99.58,909.11,405.51,407.63
120.71,714.65,121.15,473.85
154.21,657.11,274.04,97.26
323.46,379.1,491.29,596.06
835.87,925.25,314.93,56.11
533.74,84.23,617.0,546.88
