ATTR1,ATTR2,ATTR3,ATTR4,ATTR5,ATTR6,ATTR7,ATTR8,ATTR9,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20
916.08,21.22,945.15,113.27,466.73,844.11,863.71,87.33,86.75,722.11,241.22,50.49,747.87,739.62,206.34,204.95,305.88,317.35,765.23,800.61
267.08,407.82,387.74,477.77,224.62,212.45,763.42,478.36,542.16,459.35,101.39,201.73,755.56,286.87,638.88,753.3,841.15,925.04,172.43,46.64
514.76,841.35,597.21,839.39,145.28,57.43,637.1,526.06,412.0,496.75,382.49,658.39,820.33,530.07,147.13,203.38,494.16,786.46,704.63,413.47
965.94,512.49,276.75,404.94,235.49,707.67,224.21,196.84,835.92,926.78,540.35,638.53,336.35,755.18,168.8,732.39,463.05,900.89,136.76,496.0
32.27,736.43,838.6,449.13,528.58,84.78,69.11,871.96,893.7,412.68,330.14,730.51,490.24,111.44,768.71,617.02,337.99,644.04,400.81,93.75
821.45,693.92,98.6,497.1,171.74,556.26,432.49,225.84,675.75,672.25,801.63,825.45,252.58,334.02,151.87,793.0,774.6,525.6,877.68,429.61
927.33,753.71,973.18,961.12,380.47,391.93,208.77,703.49,431.01,930.46,550.35,46.87,670.6,238.51,33.13,338.65,796.55,338.36,470.98,52.53
81.06,137.74,107.94,155.35,524.79,437.03,914.22,256.91,197.29,552.36,962.92,659.11,768.57,906.4,276.68,526.98,9.4,988.46,628.49,721.63
508.32,565.76,427.34,682.16,202.61,947.8,623.84,904.59,930.39,675.29,109.39,288.08,195.92,561.59,713.64,546.8,90.15,80.63,762.38,522.52
595.99,502.38,81.6,965.62,250.23,225.81,863.76,841.63,768.97,574.44,605.37,729.93,8.11,766.37,968.31,783.28,153.52,110.51,885.43,726.68
325.74,877.69,497.14,586.27,748.81,364.22,354.75,809.9,586.79,893.92,652.22,227.14,647.5,704.68,536.14,871.04,784.25,410.11,193.76,152.93
421.15,509.35,280.63,199.89,320.87,109.42,560.99,817.38,515.05,420.99,583.37,298.47,498.69,384.36,861.56,347.63,655.62,16.96,880.58,46.92
467.53,832.11,810.36,666.49,965.82,520.16,614.26,973.59,613.12,7.12,65.39,725.66,284.19,965.88,220.74,25.79,551.8,317.41,631.94,916.42
252.39,954.64,587.19,992.09,279.94,140.13,663.86,184.78,322.12,6.31,995.54,836.16,32.31,231.59,207.82,929.27,942.67,792.28,977.4,902.84
999.3,923.16,217.12,236.35,262.38,648.02,381.99,149.64,228.03,859.73,345.17,171.07,83.13,325.34,291.06,379.33,543.75,951.68,969.27,498.38
661.78,919.73,16.84,358.51,71.83,382.01,495.15,618.66,756.49,31.52,723.26,304.94,277.2,972.95,568.94,614.48,957.87,236.06,807.36,478.09
787.82,233.99,447.94,768.6,98.18,770.98,822.39,907.3,660.55,649.55,337.74,553.17,360.87,388.82,47.47,830.21,49.92,887.05,53.4,389.56
