ATTR1,ATTR2,ATTR3,ATTR4
9.41,9.87,1.42,3.41
1.44,7.82,1.03,8.15
8.48,5.89,7.36,3.29
1.32,5.61,3.98,7.97
8.78,1.65,3.59,6.98
9.05,1.08,1.87,8.5
7.86,5.5,4.83,0.43
7.86,7.57,6.67,8.31
2.89,0.87,6.69,0.91
2.75,3.31,2.46,3.81
2.7,9.39,1.39,4.5
5.24,0.94,7.77,6.59
3.06,6.31,5.92,6.16
1.82,0.93,4.81,8.54
8.78,4.81,3.61,1.18
1.02,2.12,3.1,1.98
7.42,8.22,6.65,4.2
8.14,5.19,3.94,5.4
3.54,2.18,5.82,9.07
1.74,5.44,7.22,2.12
5.22,1.72,8.09,7.47
9.87,7.77,1.12,3.52
7.06,7.61,3.04,3.79
4.48,5.51,9.72,5.23
2.77,0.79,7.99,9.99
5.72,0.01,9.24,5.04
8.1,9.98,8.66,9.81
2.95,3.69,9.07,6.71
8.02,1.37,6.9,2.11
8.45,3.01,1.94,7.81
0.59,3.45,6.33,9.54
4.93,1.51,9.5,1.23
8.87,3.89,6.0,9.84
6.41,0.26,6.03,2.38
7.87,3.92,3.76,0.6
1.65,4.23,0.46,1.04
4.97,9.89,4.12,7.47
2.31,3.78,7.89,5.81
8.32,0.59,5.29,4.28
0.26,7.66,4.9,0.74
7.63,5.11,0.62,7.49
4.67,1.3,9.54,1.45
5.93,3.23,6.17,6.38
3.06,4.64,3.4,8.62
0.8,5.99,0.63,7.01
0.85,9.69,4.62,8.06
8.68,6.56,8.43,2.65
7.52,6.94,3.22,9.73
6.2,8.15,2.56,3.25
0.06,2.15,3.99,0.68
3.3,8.4,6.96,9.13
3.09,0.98,4.08,2.56
4.0,9.77,4.59,0.27
2.07,3.03,5.63,2.36
6.92,4.13,6.62,1.87
6.52,8.45,2.34,3.29
4.63,0.66,0.26,4.31
0.98,7.21,9.03,0.66
5.18,7.2,3.84,8.38
2.85,1.11,0.3,7.65
6.3,0.35,4.13,0.42
5.39,5.53,2.32,6.13
5.79,0.89,1.52,1.87
7.4,7.07,9.56,7.16
8.35,3.01,3.11,7.02
5.73,0.78,6.36,3.71
5.9,7.49,3.59,1.49
2.34,6.74,5.77,3.31
9.19,5.86,1.91,6.09
5.57,5.79,5.45,7.78
6.32,9.5,3.95,5.69
3.16,1.73,0.11,7.56
7.69,1.21,4.53,2.55
3.9,3.09,7.77,0.34
9.48,7.91,3.96,8.3
7.87,7.77,8.62,9.84
9.95,1.19,4.64,9.29
2.76,9.38,2.28,7.63
4.87,5.03,6.78,1.93
6.18,8.85,3.89,4.2
9.66,1.71,6.67,0.34
1.59,7.23,0.15,6.79
9.14,6.17,2.69,7.66
2.45,0.97,1.08,9.89
7.55,1.84,1.94,9.1
4.16,4.01,2.89,6.12
8.92,6.8,6.2,0.56
8.12,5.48,0.74,0.82
8.66,2.64,5.01,0.43
9.19,5.43,8.59,5.75
4.73,3.56,5.05,4.78
9.35,2.32,5.93,6.22
4.55,0.33,8.11,7.84
4.66,0.53,9.24,3.61
6.37,3.06,4.81,6.91
2.29,6.34,2.77,3.11
4.35,0.55,4.85,5.74
6.8,2.0,1.8,9.53
1.98,5.57,1.79,6.03
9.63,9.54,9.58,6.7
