ATTR1,ATTR2,ATTR3,ATTR4
276.04,152.0,445.62,61.24
241.02,355.98,449.04,468.03
353.85,94.99,74.55,155.09
53.29,257.81,423.58,216.75
249.68,85.53,259.35,279.25
139.4,173.2,444.42,350.68
440.48,232.06,291.15,482.47
206.0,390.58,250.79,15.13
15.46,224.37,376.54,289.46
487.54,281.62,377.34,177.99
470.03,314.95,195.41,278.27
480.45,81.37,164.47,27.04
351.94,168.12,375.77,306.78
300.02,393.95,56.65,401.44
418.43,357.12,377.51,103.76
20.07,135.49,207.93,207.72
146.74,497.17,346.01,126.61
6.13,126.85,191.63,178.87
332.8,18.74,98.91,212.62
43.07,204.44,449.68,266.12
499.11,303.86,179.68,102.32
224.3,454.25,15.08,496.0
398.38,267.68,111.03,40.12
461.56,492.32,334.51,147.15
438.28,430.55,319.92,432.75
349.02,217.94,498.9,39.96
184.6,309.47,76.27,324.85
221.8,493.14,99.16,444.9
407.76,13.0,344.33,193.16
79.8,270.53,34.17,186.17
72.85,23.13,183.92,278.04
50.8,284.51,24.28,432.3
480.61,312.99,461.47,115.34
91.11,142.79,406.66,219.89
29.43,354.98,64.44,185.94
396.15,192.43,183.49,465.49
106.31,5.69,290.75,280.29
365.83,63.86,124.98,183.99
106.19,236.53,250.97,5.88
55.32,216.04,491.14,329.19
56.4,110.75,190.97,107.49
381.5,426.23,413.88,121.96
362.26,16.42,250.46,430.45
356.78,323.74,374.37,270.6
133.9,358.84,176.88,443.23
353.68,244.15,47.88,312.6
143.37,274.34,35.6,308.88
210.28,429.67,193.44,36.0
117.44,140.61,90.86,146.51
194.61,55.02,85.25,465.85
9.82,169.66,469.14,135.74
164.39,72.76,89.16,119.76
221.21,169.27,309.47,163.48
471.8,478.25,439.86,432.37
384.34,161.64,269.1,463.29
60.64,386.81,44.83,165.69
191.27,225.79,57.31,204.25
236.83,244.75,214.1,288.89
61.18,358.81,142.44,401.48
399.53,413.37,377.55,21.68
214.48,385.02,484.88,189.1
246.94,137.99,288.61,296.3
442.76,491.91,3.65,297.4
50.74,397.49,137.44,436.15
389.57,8.79,264.66,182.58
218.31,321.88,236.1,238.92
140.55,231.94,305.07,181.16
79.69,51.95,148.1,254.57
470.28,24.92,120.76,222.93
310.8,157.35,243.16,117.58
181.88,156.86,487.49,265.36
76.02,491.23,441.36,260.42
256.79,460.06,317.11,416.4
376.86,195.19,39.54,112.89
154.16,427.11,303.84,418.14
462.63,60.36,6.68,216.35
